color,x,y
Western Germany,-0.8339324471831637,-3.348226876120008
Western Germany,2.973750107345341,-10.75364112046687
Western Germany,3.4654087029478102,-9.952536532467851
Western Germany,0.042336978319620355,-6.711648633907062
Cities,-0.9804057100173336,4.900850792893045
Western Germany,0.1705562382278235,-5.306350541325005
Western Germany,0.6131472665958951,-5.904018663778214
Western Germany,0.9041885846262392,-6.097179516711677
Western Germany,1.7986475287593977,-6.2270445759035224
Western Germany,1.0305281407135702,-5.572461857988166
Western Germany,2.13700246702745,3.4454934841171867
Eastern Germany,-0.7872398647384671,24.64522686235286
Eastern Germany,-1.3095406390509394,24.96508108459567
Eastern Germany,-2.1020972678418453,22.666387732931117
Eastern Germany,-2.489072352484471,26.092590881612427
Eastern Germany,-3.7430869426700033,27.188052536259505
Eastern Germany,-1.496992284477301,26.348090174550723
Cities,0.1599364448398417,6.668698232303573
Cities,-1.8711261654368747,6.392432987315506
Cities,-1.730408752925881,5.450620579907855
Cities,-3.0305365212275137,1.5249312673676598
Cities,3.168245809961083,3.772407083316431
Cities,4.1272280465552305,3.8621781732999168
Western Germany,12.805354788518091,0.48710116453919383
Western Germany,7.538834204938176,-13.37732431768984
Western Germany,10.75580897440898,-2.7332404354189155
Western Germany,-0.6153058704796227,-1.7540343728358236
Western Germany,8.920566917824008,-5.107919105415224
Western Germany,7.482772339169619,-11.411172643145509
Western Germany,6.635089762650458,-12.316899031917622
Western Germany,5.20784285727218,-15.52911619181561
Western Germany,4.740653996735996,-16.02631372908212
Western Germany,6.234814400333257,-10.231819380261546
Western Germany,7.622118144766864,-7.922695753703119
Western Germany,7.2439136277443605,-10.811221208263623
Western Germany,1.2915932809920188,-6.041958088060822
Western Germany,-1.1420771360892947,-1.2673069543737505
Western Germany,7.250640201527388,-12.537832844942024
Western Germany,-0.8775536045414105,-2.4517086655849165
Western Germany,10.520388347213082,-3.865812480591832
Cities,2.9511546200136403,4.38221520366092
Cities,0.20067261401049274,5.883619921524735
Western Germany,8.619201297446438,-4.898154376689783
Western Germany,7.089754879971314,-8.491150469848549
Western Germany,10.327582365330397,-4.364379762893153
Western Germany,10.945608760518551,-1.6186175402053162
Western Germany,9.505266997951704,-1.8179233399609807
Western Germany,11.304142938284839,-2.2700238690665415
Western Germany,11.259789857882351,0.6902005068308086
Cities,2.4820077661194917,3.706843941086139
Western Germany,10.493380551226789,-3.2307158175013715
Western Germany,11.245037840010013,-1.5166881722903738
Western Germany,3.2599034644545863,2.2792718035920627
Cities,0.8269978181050939,6.197884751190235
Cities,6.440059181070118,4.740687991710255
Eastern Germany,-1.1619651968980689,23.930754778530236
Eastern Germany,-2.63203535875006,24.51696254370983
Eastern Germany,-1.9157005005941654,23.730556423801225
Eastern Germany,-3.832267825916991,23.34993927727493
Eastern Germany,-1.2491683343083055,23.582884994340763
Eastern Germany,-2.6168126563262035,21.09604332260968
Eastern Germany,-3.311649098109249,24.32626890416613
Eastern Germany,-4.05039328794882,23.76662001847964
Eastern Germany,-6.218739399069534,24.99666751808517
Eastern Germany,-4.592899261291429,25.682298501549145
Eastern Germany,-0.6246248455781336,25.31851247541797
Eastern Germany,-1.7540701360167326,25.288804060091174
Eastern Germany,-1.1179302982081252,25.414233001510837
Eastern Germany,-2.4450741780436713,22.81314671023128
Eastern Germany,-2.287730270558445,25.74595808948672
Eastern Germany,-3.4766401703579675,25.83458238796678
Eastern Germany,-3.6463098321569465,22.39484051197184
Eastern Germany,-4.473360108768426,26.450193638647676
Eastern Germany,-4.170408026884791,25.577478408130716
Cities,-3.571961540225912,17.892054023065352
Cities,-3.705330576501115,18.76733729959855
Cities,1.8450936777711184,-0.9755527521621981
Cities,2.410895019777996,-0.20927016641852464
Cities,-4.163310697060172,2.212571040966172
Cities,-3.616940611700646,3.6041759421928066
Cities,-2.8829452598851,5.53941392806456
Cities,-1.3062150310764058,7.910771164156572
Cities,-3.6049278914625718,17.77292281719398
Cities,-4.335302631957817,20.253937442561607
Cities,-5.03153235435458,20.75692478586865
Cities,-4.688141427481126,20.0976310844932
Cities,0.6127171614300387,4.524878102750546
Western Germany,12.348234589590822,1.15134803663743
Western Germany,6.492292081879597,-11.104647200025214
Western Germany,9.523120041905937,-4.745524867777878
Western Germany,5.935062593720598,-5.295369376404135
Western Germany,4.256116197533097,-8.313830322328212
Cities,0.9456858064633389,4.6148209535990885
Cities,-3.290013610220819,3.0662943748042104
Cities,-0.07282750376734959,5.7592536865786785
Cities,-3.218285629445231,2.3457325938655904
Western Germany,3.6468147698621296,-6.227688000831357
Western Germany,1.5068837318352037,-7.940245351297821
Western Germany,4.637086775097801,-7.5438353595929675
Western Germany,1.8661989309815104,-7.71245222448135
Cities,3.814021510428019,4.459139734560201
Cities,4.364505574005816,4.716923890049115
Cities,5.235304665488449,-5.035051501375092
