,kNN,ARI
0.0,58.60000000000001,42.61872746566821
0.07142857142857142,87.7,42.60175457373387
0.14285714285714285,97.0,49.81132075471698
0.21428571428571427,98.2,49.81132075471698
0.2857142857142857,98.2,49.81132075471698
0.3571428571428571,98.8,49.81132075471698
0.42857142857142855,98.50000000000001,49.81132075471698
0.5,99.10000000000001,69.57704931699692
0.5714285714285714,99.4,69.57704931699692
0.6428571428571428,99.4,98.66332805910103
0.7142857142857142,99.4,98.66332805910103
0.7857142857142857,99.4,99.33165272203728
0.8571428571428571,99.4,98.67009000400982
0.9285714285714285,99.4,96.72676330087653
1.0,61.00000000000001,31.885737259559665
