,kNN,ARI0
0.0,0.899665551839465,0.5462807562424611
0.07142857142857142,0.9036789297658865,0.5462807562424611
0.14285714285714285,0.9036789297658865,0.5462807562424611
0.21428571428571427,0.899665551839465,0.5527006098176653
0.2857142857142857,0.9036789297658865,0.5527006098176653
0.3571428571428571,0.9036789297658865,0.5412568619309612
0.42857142857142855,0.9036789297658865,0.5412568619309612
0.5,0.899665551839465,0.5412568619309612
0.5714285714285714,0.8956521739130434,0.555207343510583
0.6428571428571428,0.899665551839465,0.6774045418149144
0.7142857142857142,0.8916387959866221,0.7003462126586816
0.7857142857142857,0.899665551839465,0.7161801442259055
0.8571428571428571,0.9117056856187291,0.7161801442259055
0.9285714285714285,0.8956521739130434,0.5459181532852246
1.0,0.8354515050167224,0.36634015877388787
